,TimeStamp,Center_X,Center_Y,Var_X,Var_Y
0,1706238784014346122,121,320,263,204
1,1706238785013770818,69,76,42,2
2,1706238786009881019,121,321,314,274
3,1706238787010212659,121,321,314,274
4,1706238788012438535,60,36,144,2
5,1706238789009901285,124,316,375,287
6,1706238790011126279,124,316,375,287
7,1706238791010576009,4,344,302,14
8,1706238792010862112,120,313,362,210
9,1706238793011811733,6,342,273,16
10,1706238794009974241,117,302,328,267
11,1706238795017157793,117,302,328,267
12,1706238796010374546,109,301,368,300
13,1706238797010585069,115,294,373,238
14,1706238798015710830,106,286,337,441
15,1706238799009676218,110,286,407,206
16,1706238800010348081,110,286,407,206
17,1706238801013907909,100,275,343,488
18,1706238802010413646,96,274,288,425
19,1706238803012071847,98,269,317,365
20,1706238804011163711,91,264,375,408
21,1706238805012964010,91,264,375,408
22,1706238806012738704,90,267,406,414
23,1706238807012562274,90,262,471,435
24,1706238808014050245,90,262,471,435
25,1706238809010333299,95,258,410,362
26,1706238810010067224,83,256,477,432
27,1706238811011627674,83,256,477,432
28,1706238812013239622,84,251,432,408
29,1706238813013937950,81,248,452,392
30,1706238814013171434,76,244,544,491
31,1706238815011610984,85,235,530,347
32,1706238816013802766,75,228,501,472
33,1706238817013190984,73,226,409,394
34,1706238818012340068,74,218,564,432
35,1706238819011487722,79,205,462,395
36,1706238820010215282,66,209,539,447
37,1706238821011278390,71,203,687,366
38,1706238822010858535,70,206,600,426
