%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1702252240370934725,140,2099409818,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32581552863121,-9.71596813201904,-0.464090138673782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252240372570551,141,2110099554,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33186200261116,-9.71158027648926,-0.469407916069031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252240374582861,142,2118725538,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.313864469528198,-9.70244216918945,-0.482853889465332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252240376047546,143,2129652738,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.331518322229385,-9.72439002990723,-0.473621159791946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252240377573769,144,2139114379,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.322068214416504,-9.71392726898194,-0.474729388952255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252240379092365,145,2149269819,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.325772374868393,-9.70009422302246,-0.462100178003311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252240380673824,146,2163099050,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.328170776367188,-9.71594905853272,-0.476392358541489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252240382164786,147,2170590877,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.334359854459763,-9.72304153442383,-0.475826025009155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252240383723765,148,2179978132,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.338179022073746,-9.70752716064453,-0.466803789138794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702252240385245930,149,2189896821,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.338826328516007,-9.71966552734375,-0.476346671581268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
