%time,field.x,field.y,field.z
1701935891131110713,0.0,0.0,0.0
1701935891134265153,-4.755570386383856e-09,-6.217599783941362e-09,-8.371952518737087e-09
1701935891136580512,-1.73788542763657e-08,-2.0873876684316703e-08,-2.3856983480085762e-08
1701935891138532817,-3.2591641615525786e-08,-3.6347921544517175e-08,-3.945331092482399e-08
1701935891140531073,-5.219233728705843e-08,-6.01405881020311e-08,-6.860763727884173e-08
1701935891142384924,-8.685940202883038e-08,-1.0255465592580336e-07,-1.166963074703228e-07
1701935891144193054,-1.3721792358676526e-07,-1.550759660077317e-07,-1.687384375326785e-07
1701935891146124212,-1.9108559845424605e-07,-2.092746976326246e-07,-2.2429584864288577e-07
1701935891148653800,-2.731235523630643e-07,-3.0560964083452763e-07,-3.358616918855551e-07
1701935891150970661,-3.935684506910464e-07,-4.4507048476539073e-07,-4.899934317610035e-07
1701935891152886580,-5.289849670914162e-07,-5.922145458111727e-07,-6.447874175286501e-07
1701935891154866442,-6.914219498975398e-07,-7.644981934019638e-07,-8.231493303728482e-07
1701935891157783991,-9.614943780506197e-07,-1.0492274385830476e-06,-1.119990619490446e-06
1701935891160016334,-1.1966597365619218e-06,-1.299017861779232e-06,-1.382365436403607e-06
1701935891161887865,-1.4188153612407293e-06,-1.5329930171765983e-06,-1.624556402099349e-06
1701935891163836542,-1.6681900658803356e-06,-1.792188684641447e-06,-1.8902241191883372e-06
1701935891165887788,-1.9439348633630435e-06,-2.0772107400400356e-06,-2.181133699361933e-06
1701935891167625888,-2.185820342034394e-06,-2.3258778112483705e-06,-2.433934974995074e-06
1701935891169349913,-2.4312857499983374e-06,-2.5785479326047826e-06,-2.6913982461312265e-06
1701935891171230654,-2.7079521692485976e-06,-2.8644808917597247e-06,-2.983904872185812e-06
1701935891173025679,-2.9841180956164986e-06,-3.1493149584833313e-06,-3.2743061708971996e-06
1701935891174747510,-3.259086706347372e-06,-3.432940127485165e-06,-3.564071789839151e-06
1701935891176493289,-3.550662458911296e-06,-3.735059341042086e-06,-3.873998376651855e-06
1701935891179480469,-4.091318437955036e-06,-4.298031186696268e-06,-4.457161763197335e-06
1701935891182173964,-4.640680925817265e-06,-4.875136627650144e-06,-5.05853600907773e-06
1701935891184609062,-5.201254009219961e-06,-5.458635416833024e-06,-5.6569440672976015e-06
1701935891186848414,-5.753730228819933e-06,-6.022821606500645e-06,-6.22666380091448e-06
1701935891188766897,-6.23761254571381e-06,-6.513830181634295e-06,-6.720965776675402e-06
1701935891191499719,-6.936998043947716e-06,-7.225889307064165e-06,-7.441414877571845e-06
1701935891194070228,-7.615348752736523e-06,-7.920192448804333e-06,-8.145629932553254e-06
1701935891195662328,-8.048547984773845e-06,-8.36255634444529e-06,-8.592046494591646e-06
1701935891197665784,-8.600073043989811e-06,-8.922850124495533e-06,-9.154980916536043e-06
1701935891199791339,-9.184977713825734e-06,-9.51621460234786e-06,-9.750260076474096e-06
1701935891202019461,-9.794106088450072e-06,-1.013212520463189e-05,-1.0366075492331808e-05
1701935891204333309,-1.041613629038439e-05,-1.0760758017088206e-05,-1.0996396629291816e-05
1701935891206192513,-1.0911067968899902e-05,-1.1264642973922232e-05,-1.1505972347851317e-05
1701935891208204446,-1.1454691536256211e-05,-1.1820761861684198e-05,-1.2069874160636537e-05
1701935891211162995,-1.2279720369228646e-05,-1.2665291451061798e-05,-1.292658811094315e-05
1701935891214037803,-1.311330906723857e-05,-1.3517647887207008e-05,-1.3789522967443579e-05
1701935891216098919,-1.372886384610681e-05,-1.4146004203912204e-05,-1.4425368584950284e-05
1701935891218014392,-1.4314642683894097e-05,-1.4744651402652638e-05,-1.5031439679114581e-05
1701935891220384988,-1.505931251641119e-05,-1.550285850494346e-05,-1.5795836106985998e-05
1701935891222749359,-1.5815984592794377e-05,-1.6271352907177064e-05,-1.657084117284142e-05
1701935891224996284,-1.6549345778316722e-05,-1.7020424585422027e-05,-1.73308451525593e-05
1701935891227283438,-1.7323555094597678e-05,-1.7812935625615132e-05,-1.8135316999540663e-05
1701935891229494752,-1.8101610154765056e-05,-1.8607739138284737e-05,-1.894042690340885e-05
1701935891231637484,-1.8880199191119198e-05,-1.9401510697490603e-05,-1.974273950169275e-05
1701935891233563279,-1.9597469549723456e-05,-2.0131248153689808e-05,-2.0478937656470347e-05
1701935891235436852,-2.0308232425025314e-05,-2.085352677986249e-05,-2.1206834451357333e-05
1701935891237262717,-2.1011096409527428e-05,-2.1566817117012684e-05,-2.1924805762927394e-05
1701935891239404352,-2.1845992991886222e-05,-2.2414351055799094e-05,-2.277829295079341e-05
1701935891241590987,-2.2710937374430305e-05,-2.3291784352069457e-05,-2.366080349855197e-05
1701935891245105646,-2.4121496931665987e-05,-2.472407046125334e-05,-2.5105577284558157e-05
1701935891247957921,-2.529109935194082e-05,-2.5917494907143132e-05,-2.6315620535667987e-05
1701935891250122238,-2.6204584968893568e-05,-2.6851517007912604e-05,-2.7263645505462e-05
1701935891252327997,-2.716351651927491e-05,-2.783268589212756e-05,-2.826023612409052e-05
1701935891254654580,-2.8209777617991128e-05,-2.8903310037830926e-05,-2.934746625930032e-05
1701935891256879638,-2.9244890181174257e-05,-2.9961066243095705e-05,-3.0418353600624295e-05
1701935891259017147,-3.0263526631827642e-05,-3.099543476823633e-05,-3.1458957291839355e-05
1701935891261241526,-3.1329345566628384e-05,-3.207393860601194e-05,-3.254307156857533e-05
1701935891263499305,-3.241430890549642e-05,-3.3174383713429226e-05,-3.365147630068082e-05
1701935891265728038,-3.349404237869463e-05,-3.426772501829408e-05,-3.474868081416148e-05
