%time,field.x,field.y,field.z
1701935958463136833,0.0,0.0,0.0
1701935958465864433,3.0628618212855588e-09,-1.0448971235130646e-09,-6.5249388135110896e-09
1701935958468630671,-1.4713926471357323e-09,-1.3912628384079044e-08,-2.7293491098060593e-08
1701935958471453067,-2.071735618169725e-08,-3.831174180434344e-08,-5.460792782577694e-08
1701935958473764925,-3.766558946140556e-08,-5.570728692689925e-08,-7.19067996228155e-08
1701935958475988879,-4.864113970691548e-08,-6.688985192927271e-08,-8.320243371752087e-08
1701935958477921240,-5.451922208004291e-08,-7.39909718210991e-08,-9.141688392804191e-08
1701935958479842062,-5.940764239767294e-08,-7.960861361732743e-08,-9.691303160454342e-08
1701935958481693312,-6.083003530252346e-08,-8.201628526521916e-08,-1.0054967900651328e-07
1701935958483428667,-6.248312842261582e-08,-8.661382179920899e-08,-1.0750309443953924e-07
1701935958485480712,-6.755352633249868e-08,-9.054766922585555e-08,-1.0700737644596588e-07
1701935958487378280,-5.7536179102319165e-08,-7.187729550282339e-08,-7.843306366063704e-08
1701935958489242206,-1.789387943597239e-08,-2.230661320511212e-08,-1.9376634572860464e-08
1701935958491302301,5.972141650884947e-08,6.339832047903948e-08,7.280915237254199e-08
1701935958493732149,1.8028296159294667e-07,1.854266911918629e-07,1.9438792648652961e-07
1701935958495977138,2.988567262617268e-07,3.0102696592196163e-07,3.0846420872897563e-07
1701935958498671829,4.4685038992274344e-07,4.505942305708535e-07,4.614704455508429e-07
1701935958500800756,5.777472081324471e-07,5.831856033280309e-07,5.940165854363892e-07
1701935958502926720,7.124327859644714e-07,7.13345205517298e-07,7.190726957880264e-07
1701935958505842739,8.814467404682729e-07,8.811589149465131e-07,8.898046983753118e-07
1701935958508072024,1.013959992105256e-06,1.023302738737378e-06,1.0431525134169516e-06
1701935958510108286,1.1564913322586065e-06,1.1758998030809476e-06,1.205784508571713e-06
1701935958511951006,1.303160971254448e-06,1.3305538742060092e-06,1.3684952695783532e-06
1701935958513831328,1.4670597452278126e-06,1.501911953607254e-06,1.54774072372904e-06
1701935958515907293,1.6632663082172652e-06,1.7066842531264746e-06,1.7622736054397784e-06
1701935958518062547,1.8865841985439475e-06,1.9394492158001606e-06,2.004906147663867e-06
1701935958520085967,2.1136319395984045e-06,2.1736314721502637e-06,2.2471354039857276e-06
1701935958521976833,2.337898749974714e-06,2.404156094937595e-06,2.485175261657719e-06
1701935958523776893,2.56192874072544e-06,2.633355087058799e-06,2.7199519157677472e-06
1701935958525557935,2.789634668134756e-06,2.864650272879151e-06,2.9560480890087147e-06
1701935958527591468,3.0551939576391977e-06,3.1369263737555935e-06,3.2376454009457242e-06
1701935958530268423,3.431723208990942e-06,3.526513830178164e-06,3.640250293587184e-06
1701935958532260937,3.7350760864726426e-06,3.83685998850296e-06,3.955607264776869e-06
1701935958534149603,4.030029163893527e-06,4.1351048427526735e-06,4.256403241340704e-06
1701935958536181732,4.34850508106743e-06,4.458223441484708e-06,4.5845974715029825e-06
1701935958539073540,4.815966068297433e-06,4.936983980439104e-06,5.074366633631086e-06
1701935958541115694,5.1633390108632376e-06,5.294096427679767e-06,5.44041619507947e-06
1701935958543245835,5.544655322456525e-06,5.686794163462879e-06,5.843011104925783e-06
1701935958545226017,5.917955733994388e-06,6.070254539860567e-06,6.234876409401219e-06
1701935958547478037,6.361633436535403e-06,6.525383261448571e-06,6.699965610081486e-06
1701935958549744621,6.829161576845374e-06,7.00426293546829e-06,7.187321186833422e-06
1701935958551758343,7.2580998845780255e-06,7.439420477845141e-06,7.625634266050625e-06
1701935958553585637,7.648380067667458e-06,7.83397285032813e-06,8.024046060048895e-06
1701935958555485831,8.058495625793356e-06,8.25416789824042e-06,8.455688226030015e-06
1701935958557286925,8.469879034179713e-06,8.68068963649795e-06,8.896761675034394e-06
1701935958559654197,9.059259846584009e-06,9.2882635332076e-06,9.521450595774623e-06
1701935958561928577,9.672493440749837e-06,9.917585257464345e-06,1.016720578665915e-05
1701935958564462995,1.0408446415893685e-05,1.0669467314434339e-05,1.0935368621995842e-05
1701935958566554794,1.1054247078435329e-05,1.1326947516327156e-05,1.1605362568909908e-05
1701935958569460463,1.200702298646068e-05,1.2295530408046804e-05,1.2589778214080087e-05
1701935958571991564,1.2886895513915352e-05,1.3184564337937044e-05,1.3488095499597163e-05
1701935958574126547,1.3656627365395046e-05,1.3961475366279993e-05,1.4273295068268873e-05
1701935958576286818,1.4462403186046837e-05,1.4774595498524191e-05,1.5093506444815856e-05
1701935958578296812,1.5233203017516626e-05,1.5548749759286378e-05,1.5869562247829542e-05
1701935958580382688,1.604067512665197e-05,1.6356086678447034e-05,1.667761072175585e-05
1701935958582804568,1.698415034599451e-05,1.7305583665902388e-05,1.763653706496876e-05
1701935958584995189,1.786262503246653e-05,1.8197427902176883e-05,1.8542789666478887e-05
1701935958587255494,1.881057473946225e-05,1.9159239612634442e-05,1.951760848385017e-05
1701935958589407591,1.9747836191204826e-05,2.0106355438226805e-05,2.0473744414147937e-05
1701935958593000442,2.1361338074325717e-05,2.173053026836668e-05,2.2110139024545226e-05
1701935958594911567,2.223956595394657e-05,2.2614114797835186e-05,2.3001125400061854e-05
1701935958597021058,2.3227198110262722e-05,2.360906329868697e-05,2.4005711138709766e-05
1701935958599116599,2.4231171224225915e-05,2.46216038987288e-05,2.5029955917836936e-05
1701935958601063408,2.518932711405917e-05,2.5589042703939135e-05,2.6009346902066248e-05
1701935958603078869,2.6209941560180913e-05,2.6619214179527436e-05,2.7051773514671825e-05
1701935958605102770,2.726401415335028e-05,2.7683270177482735e-05,2.8130372716815094e-05
1701935958607231114,2.8410605825917997e-05,2.884379535582763e-05,2.9309091014029595e-05
1701935958609279828,2.955902754337152e-05,3.000570107567533e-05,3.0486675213774967e-05
1701935958611161713,3.064791253618986e-05,3.1102908759367475e-05,3.159476993842875e-05
1701935958613188818,3.184567593204815e-05,3.230764552278205e-05,3.281120887698012e-05
1701935958615296861,3.311875474357353e-05,3.359226196250416e-05,3.4113862180915024e-05
1701935958617298400,3.436832759782562e-05,3.4857959778985754e-05,3.540049702357861e-05
1701935958619245707,3.5632032047916445e-05,3.613581504229036e-05,3.6694671920396626e-05
1701935958621575613,3.7189274120585246e-05,3.7700197969185344e-05,3.8268635683745965e-05
1701935958625030905,-0.895423011971353,-0.5519402983444746,0.000340938303876566
1701935958627454172,-0.9276114780986867,-0.571781336684189,0.0003531858788480826
1701935958629740986,-0.9401320390883463,-0.5794990395337306,0.0003579506806487868
1701935958632135399,-0.9532426568647924,-0.5875804492371044,0.000362952350827984
1701935958634182157,-0.9644499192846873,-0.5944886215427717,0.00036724097251032657
1701935958636120430,-0.9750618871631573,-0.601029850358799,0.0003713099895098937
1701935958637947834,-0.9850681228241869,-0.6071977052000684,0.0003751481857232011
1701935958639817360,-0.9953054222877841,-0.6135079886388772,0.00037907481522435983
1701935958641540402,-1.004738566875702,-0.6193225883233573,0.00038269707478132603
1701935958643336491,-1.0145737819818414,-0.6253850199513098,0.00038648463366028677
1701935958645122456,-1.0243528502273356,-0.6314128362181136,0.0003902665295702783
1701935958647116107,-1.0352689376748037,-0.6381415007359118,0.00039451350664145967
1701935958648862402,-1.0448299555699019,-0.6440348921272026,0.00039825678213766067
1701935958650756229,-1.0551990172993502,-0.6504263565428923,0.000402328573742118
1701935958653538471,-1.0704334166845961,-0.659816799325428,0.00040832622115794236
1701935958656997366,-1.0893726020867749,-0.671490839027565,0.0004158382593084366
1701935958659497326,-1.1030599971783606,-0.6799276742684227,0.00042131770418966393
1701935958661520000,-1.11413520365927,-0.6867543615123548,0.0004257754153562304
1701935958664194905,-1.1287807187984897,-0.6957817631688962,0.0004316793330962016
1701935958666367055,-1.1406744016619792,-0.7031129530125062,0.00043647817627694076
1701935958668334570,-1.1514467225759977,-0.7097529368259584,0.0004408375107443367
1701935958670329283,-1.162369151706683,-0.7164854407277048,0.0004452698930464658
1701935958672931764,-1.1766177745477324,-0.7252681885203159,0.0004510507332523019
1701935958675794334,-1.1922919162654169,-0.7349296146294725,0.00045741766116289077
1701935958678133209,-1.2050980438253602,-0.7428232029337887,0.0004626516677646424
1701935958680547266,-1.218315340496219,-0.7509702170990301,0.00046809021723855874
1701935958682574675,-1.2294165373240555,-0.7578128803262139,0.0004726798971784362
1701935958685331307,-1.244509643733443,-0.7671161045795604,0.00047894936448044187
1701935958688720060,-1.2630633355375394,-0.7785523766170439,0.00048670816658617994
1701935958691656559,-1.2791419321799102,-0.7884630015409334,0.0004935014082195295
1701935958693556175,-1.2895420066708536,-0.7948734463704172,0.0004979370731038347
1701935958695949751,-1.302648120645509,-0.8029518397866651,0.0005035621636956326
1701935958698198683,-1.3149618282602367,-0.8105417942217581,0.000508881544110676
1701935958699889198,-1.3242169943042226,-0.8162465090191557,0.0005128997477517184
1701935958702269990,-1.337252526995549,-0.8242813675472612,0.0005185761271227714
1701935958704300502,-1.348369134739844,-0.8311334304320261,0.0005234334446446914
1701935958706131123,-1.358393126842961,-0.8373120218381372,0.0005278237353273395
1701935958708203702,-1.3697407641031867,-0.8443064830341648,0.0005327941002146053
1701935958710111378,-1.3801850826829232,-0.8507441581821669,0.0005373660408264757
1701935958712138935,-1.3912860077707865,-0.8575865529733916,0.0005422245058065959
1701935958714045025,-1.4017224967322675,-0.864019402672736,0.0005467912963411235
1701935958716721990,-1.4163792696010793,-0.8730535501699277,0.0005532132469970025
1701935958718862450,-1.4280989354044282,-0.8802773154546585,0.0005583625901108557
1701935958721114861,-1.4404308102278824,-0.8878784322050373,0.0005637875655365764
1701935958723911293,-1.455741542739374,-0.8973156509636748,0.0005705391405637492
1701935958725864334,-1.4664351543515641,-0.903906961755924,0.0005752768224273648
1701935958727823632,-1.47716268611776,-0.9105191738065165,0.0005800453952377379
1701935958729770848,-1.487823631629173,-0.9170903424363346,0.0005847897538928999
1701935958731579414,-1.4977248501721454,-0.9231932330968757,0.0005891962893874533
1701935958733481156,-1.5081377713396116,-0.9296115216048104,0.0005938411551924164
1701935958735447589,-1.518904429982785,-0.9362478344836446,0.0005986685385098582
1701935958737098615,-1.527944069888899,-0.9418196488100244,0.0006027345216215435
1701935958738964889,-1.5381611406213684,-0.948117206277363,0.000607325916944131
1701935958740683639,-1.5475715040346407,-0.9539175329366245,0.0006115463432267705
1701935958742379949,-1.556859169879769,-0.9596422318399012,0.0006157107539594654
1701935958743987910,-1.5656625431807614,-0.9650684197416788,0.0006196670540212988
1701935958745867117,-1.5759514059822308,-0.9714102207373984,0.0006243066980611113
1701935958748735253,-1.5916548817669791,-0.9810894502425509,0.0006314038153408417
1701935958751128632,-1.6047593757663485,-0.9891667340827218,0.0006373271104472791
1701935958753358780,-1.6169697010144564,-0.99669287577652,0.0006428457482758825
1701935958756679403,-1.6351494229015482,-1.0078983941951773,0.0006510850691019158
1701935958758670327,-1.64605045479512,-1.0146175057061448,0.000656041544594321
1701935958761016502,-1.6588964553859897,-1.0225354423082131,0.0006618912843644661
1701935958762917728,-1.6693053515052603,-1.0289512100353304,0.0006666364953258077
1701935958764690268,-1.6790093525968435,-1.0349324982671613,0.0006710634145683716
1701935958767001316,-1.691663448278017,-1.042732142444406,0.0006768457468065378
1701935958768928730,-1.7022159159194763,-1.049236395047541,0.0006816780515393098
1701935958770934129,-1.7131952250637545,-1.0560037393068178,0.0006867111363742489
1701935958772748854,-1.7231315554474798,-1.0621282203863815,0.0006912661708343986
1701935958774772611,-1.7342113760226965,-1.0689575211992077,0.0006963377441888023
1701935958776670135,-1.7446006742326121,-1.075361206117272,0.0007010861198860202
1701935958779710772,-0.9015222006449444,-0.5573176210719745,0.0027273878024808938
1701935958782806755,-0.9024366754159762,-0.5575141979456059,0.00282211681457897
1701935958784732389,-0.9027235963115635,-0.5575758589813118,0.0028518658913093465
1701935958786719959,-0.9030197722388832,-0.5576394953035169,0.002882592175763715
1701935958790066738,-0.9035184156825138,-0.5577466162316252,0.0029343471715819395
1701935958792115006,-0.9038235858534052,-0.5578121646132911,0.0029660357408988107
1701935958794082481,-0.9041167040988993,-0.5578751169111439,0.002996482377991871
1701935958796305873,-0.9044479638562797,-0.5579462566063549,0.0030308957723018328
1701935958798438476,-0.9047656875606153,-0.5580144884451006,0.0030639027103761497
1701935958801133322,-0.9051671732359748,-0.5581007199839363,0.003105592235917511
1701935958803184892,-0.9054728395082354,-0.5581663834780846,0.003137317872871516
1701935958805333045,-0.905792896107755,-0.5582351342753672,0.003170546270047227
1701935958807363559,-0.9060953917465812,-0.5583001011163765,0.003201965856870242
1701935958809963408,-0.9064827351189323,-0.5583832888867032,0.0032421966277361687
1701935958812408450,-0.906846997634329,-0.5584615278709024,0.003280021152477826
1701935958814144991,-0.9071057319906513,-0.5585170993478216,0.003306892356271343
1701935958816056812,-0.9073905309781224,-0.5585782635681614,0.0033364762540207377
1701935958817824077,-0.9076538379839951,-0.5586348126403972,0.0033638269156512895
1701935958820063008,-0.9079874022723441,-0.5587064470343325,0.0033984823288124044
1701935958823565574,-0.908509162589562,-0.5588184756191029,0.003452722343677504
1701935958825612525,-0.9088141035238045,-0.5588839366199798,0.003484442324587962
1701935958828292399,-0.909213284730855,-0.5589696144022506,0.0035259824084735085
1701935958830162831,-0.9094918854966494,-0.559029406253225,0.003554981100041492
1701935958832310213,-0.9098117481957039,-0.5590980501054676,0.003588280029526112
1701935958834938216,-0.9102031959155202,-0.5591820484852938,0.003629042594642096
1701935958836952346,-0.9105031924469563,-0.5592464165203631,0.0036602909341565933
1701935958839415373,-0.9108700110006333,-0.5593251133695173,0.003698513820759389
1701935958841758880,-0.911219058300016,-0.5593999813104708,0.003734909321085615
1701935958845861993,-0.9118300635578019,-0.5595309953484524,0.0037986727889647303
1701935958848002556,-0.9121488373216458,-0.5595993313535279,0.00383196234309188
1701935958849753835,-0.9124095886770173,-0.5596552169919863,0.0038592116101500325
1701935958851827778,-0.9127183830638004,-0.5597213788261943,0.0038915091129822664
1701935958853915457,-0.9130291762347577,-0.5597879539656974,0.003924033906014004
1701935958855677255,-0.9132914737892794,-0.5598441353832664,0.003951491593933364
1701935958857389683,-0.9135463811996378,-0.5598987255107742,0.003978189354814559
1701935958859217856,-0.9138185213264469,-0.5599569919913991,0.004006711153745217
